year,source_ccode,target_ccode,tie
1970,160,490,481.39894319681116
1971,160,490,461.850224923367
1972,160,490,456.0790730263461
1973,160,490,431.8356315254141
1974,160,490,399.0979253816404
1975,160,490,363.5328375777872
1976,160,490,346.7376234127396
1977,160,490,326.8453470645627
1978,160,490,321.9777953630719
1979,160,490,286.7626713715981
1980,160,490,247.9538604974896
1981,160,490,221.953968526057
1982,160,490,232.60028191566653
1983,160,490,234.5264603735841
1984,160,490,216.754111586416
1985,160,490,207.65696821825168
1986,160,490,193.42540473467488
1987,160,490,156.7721673528422
1988,160,490,124.09062290189013
1989,160,490,102.42788533848943
1990,160,490,78.5824105503043
1991,160,490,55.21392691112578
1992,160,490,24.49565411322328
1993,160,490,3.4224672950513195
1994,160,490,-64.09128009826873
1995,160,490,-136.16886668190364
1996,160,490,-163.1012245990396
1997,160,490,-193.02405385592738
1998,160,490,-199.94771151726582
1999,160,490,-246.98146316322982
2000,160,490,-347.8528585539925
2001,160,490,-330.5052854628766
2002,160,490,-347.09803312112217
2003,160,490,-416.74300899395803
2004,160,490,-525.1000200640692
2005,160,490,-617.8451946311989
2006,160,490,-707.074840659544
2007,160,490,-848.9113393630296
2008,160,490,-993.1292726771053
2009,160,490,-755.1405211924384
2010,160,490,-917.7991022579163
2011,160,490,-1108.2412620444438
2012,160,490,-1114.7763877427687
2013,160,490,-1150.1513877427687
2014,160,490,-1161.345940815395
1962,160,500,756.233217108268
1963,160,500,730.164196278276
1964,160,500,702.8783017498372
1965,160,500,692.5098123180824
1966,160,500,657.2324810701557
1967,160,500,654.0055447697023
1968,160,500,635.9135045472904
1969,160,500,634.3195534940942
1970,160,500,616.9574234125703
1971,160,500,597.408705139127
1972,160,500,590.6375532421062
1973,160,500,566.3941117411741
1974,160,500,534.6564055974004
1975,160,500,496.0913177935472
1976,160,500,481.2961036284987
1977,160,500,463.4038272803218
1978,160,500,458.5362755788319
1979,160,500,424.32115158735724
1980,160,500,385.5123407132487
1981,160,500,359.5124487418161
1982,160,500,370.15876213142656
1983,160,500,372.0849405893441
1984,160,500,354.31259180217603
1985,160,500,345.2154484340108
1986,160,500,330.983884950434
1987,160,500,294.3306475686022
1988,160,500,261.64910311765016
1989,160,500,238.98636555424946
1990,160,500,214.14089076606342
1991,160,500,190.7724071268849
1992,160,500,160.05413432898422
1993,160,500,133.98094751081044
1994,160,500,70.4672001174913
1995,160,500,1.3896135338563909
1996,160,500,-30.54274438327957
1997,160,500,-55.46557364016735
1998,160,500,-62.38923130150761
1999,160,500,-109.42298294747161
2000,160,500,-208.2943783382325
2001,160,500,-192.94680524711657
2002,160,500,-209.53955290536214
2003,160,500,-287.184528778198
2004,160,500,-388.541539848311
2005,160,500,-469.28671441543884
2006,160,500,-586.5163604437857
2007,160,500,-722.3528591472714
2008,160,500,-870.5707924613453
2009,160,500,-631.5820409766802
2010,160,500,-807.2406220421581
2011,160,500,-1004.6827818286856
2012,160,500,-1015.2179075270105
2013,160,500,-1034.5929075270105
2014,160,500,-1046.7874605996367
1963,160,501,509.99951698444875
1964,160,501,482.71362245600994
1965,160,501,472.3451330242542
1966,160,501,437.06780177632754
1967,160,501,433.84086547587503
1968,160,501,415.7488252534631
1969,160,501,414.15487420026693
1970,160,501,396.79274411874303
1971,160,501,377.2440258452998
1972,160,501,370.472873948278
1973,160,501,348.22943244734597
1974,160,501,313.49172630357316
1975,160,501,276.92663849971905
1976,160,501,262.13142433467146
1977,160,501,243.23914798649457
